Exact Match,FishStatNameID,Taxon Key,FishStatName,FishStatTaxaName,CommonName,Matching Name,Fixed,Notes,Group,Order,Species,Genus,Totalmt,Capture,Aquaculture,Trade,Canada
1,355,600898,Blue shark,Blue shark,Blue shark,Blue shark,,,,,,,956964,1,0,0,1
1,356,690054,Blue shrimp,Blue shrimp,Blue shrimp,Blue shrimp,,,,,,,281865.5,1,1,0,0
1,357,602058,Blue skate,Blue skate,Blue skate,Blue skate,,,,,,,14466,1,0,0,0
0,358,,Blue squat lobster,Blue squat lobster,Blue squat lobster,Blue squat lobster,-1,Galathea strigosa,,,,,164399,1,0,0,0
1,359,690055,Blue swimming crab,Blue swimming crab,Blue swimming crab,Blue swimming crab,,,,,,,3809473.16,1,1,0,0
1,360,600031,"Blue whiting fillets, frozen",Blue whiting ,Blue whiting ,Blue whiting ,,,,,,,62538,0,0,1,0
1,361,600031,Blue whiting meal,Blue whiting meal,Blue whiting ,Blue whiting ,,,,,,,416856,0,0,1,0
1,362,600031,"Blue whiting meat, frozen",Blue whiting,Blue whiting ,Blue whiting ,,,,,,,55336,0,0,1,0
1,363,600031,Blue whiting(=Poutassou),Blue whiting(=Poutassou),Blue whiting ,Blue whiting ,,,,,,,35390431,1,0,0,0
1,364,600031,"Blue whiting, fresh or chilled",Blue whiting,Blue whiting ,Blue whiting ,,,,,,,910309,0,0,1,0
1,365,600031,"Blue whiting, frozen","Blue whiting, frozen",Blue whiting ,Blue whiting ,,,,,,,6228820,0,0,1,0
1,366,601574,Blueback shad,Blueback shad,Blueback shad,Blueback shad,,,,,,,1008,1,0,0,0
0,367,605548,Blue-barred parrotfish,Blue-barred parrotfish,Blue-barred parrotfish,Bluebarred parrotfish,1,,,,,,872,1,0,0,0
1,368,600507,Bluefin gurnard,Bluefin gurnard,Bluefin gurnard,Bluefin gurnard,,,,,,,833715,1,0,0,0
1,369,601906,Bluefin trevally,Bluefin trevally,Bluefin trevally,Bluefin trevally,,,,,,,278,1,0,0,0
1,370,600364,Bluefish,Bluefish,Bluefish,Bluefish,,,,,,,1557512,1,1,0,0
1,371,600364,"Bluefish, frozen","Bluefish, frozen",Bluefish,Bluefish,,,,,,,10,0,0,1,0
0,372,614983,Bluegill,Bluegill,Bluegill,Bluegill longfin,1,,,,,,0,0,1,0,0
1,373,600496,Bluenose warehou,Bluenose warehou,Bluenose warehou,Bluenose warehou,,,,,,,65229,1,0,0,0
1,374,601265,Bluespine unicornfish,Bluespine unicornfish,Bluespine unicornfish,Bluespine unicornfish,,,,,,,2008,1,0,0,0
1,375,605659,Bluespot mullet,Bluespot mullet,Bluespot mullet,Bluespot mullet,,,,,,,48872,1,1,0,0
1,376,605444,Bluespotted cornetfish,Bluespotted cornetfish,Bluespotted cornetfish,Bluespotted cornetfish,,,,,,,5,1,0,0,0
1,377,604540,Bluespotted seabream,Bluespotted seabream,Bluespotted seabream,Bluespotted seabream,,,,,,,109,1,0,0,0
1,378,601494,Bluestripe herring,Bluestripe herring,Bluestripe herring,Bluestripe herring,,,,,,,1202,1,0,0,0
1,379,607054,Blunt scalyhead,Blunt scalyhead,Blunt scalyhead,Blunt scalyhead,,,,,,,1690,1,0,0,0
1,380,600637,Bluntnose sixgill shark,Bluntnose sixgill shark,Bluntnose sixgill shark,Bluntnose sixgill shark,,,,,,,250,1,0,0,0
1,381,600054,Boarfish,Boarfish,Boarfish,Boarfish,,,,,,,380605,1,0,0,0
1,382,400252,Boarfishes nei,Boarfishes,Boarfishes,Boarfishes,,,,,,,869,1,0,0,0
1,383,600433,Bobo croaker,Bobo croaker,Bobo croaker,Bobo croaker,,,,,,,297877,1,0,0,0
1,384,600338,Bobo mullet,Bobo mullet,Bobo mullet,Bobo mullet,,,,,,,28588,1,0,0,0
1,385,603987,Bocaccio rockfish,Bocaccio rockfish,Bocaccio rockfish,Bocaccio rockfish,,,,,,,1668,1,0,0,0
1,386,600967,Bocon toadfish,Bocon toadfish,Bocon toadfish,Bocon toadfish,,,,,,,3175,1,0,0,0
1,387,600423,Boe drum,Boe drum,Boe drum,Boe drum,,,,,,,67255,1,0,0,0
1,388,600203,Bogue,Bogue,Bogue,Bogue,,,,,,,1565037,1,0,0,0
0,389,600260,Bombay-duck,Bombay-duck,Bombay-duck,Bombay duck,1,,,,,,8307468,1,0,0,0
